Date,Sales
2020-01-01,103.97
2020-02-01,111.71
2020-03-01,128.14
2020-04-01,140.63
2020-05-01,126.71
2020-06-01,122.21
2020-07-01,129.54
2020-08-01,115.86
2020-09-01,101.46
2020-10-01,109.69
2020-11-01,107.14
2020-12-01,117.26
2021-01-01,135.74
2021-02-01,131.31
2021-03-01,142.96
2021-04-01,157.76
2021-05-01,154.29
2021-06-01,160.4
2021-07-01,143.44
2021-08-01,132.22
2021-09-01,150.74
2021-10-01,137.35
2021-11-01,145.19
2021-12-01,143.39
2022-01-01,163.25
2022-02-01,181.31
2022-03-01,181.35
2022-04-01,199.06
2022-05-01,191.39
2022-06-01,189.36
2022-07-01,179.69
2022-08-01,192.14
2022-09-01,172.71
2022-10-01,164.5
2022-11-01,185.03
2022-12-01,178.82
2023-01-01,203.08
2023-02-01,198.55
2023-03-01,213.74
2023-04-01,231.43
2023-05-01,235.9
2023-06-01,226.86
2023-07-01,217.38
2023-08-01,208.72
2023-09-01,194.79
2023-10-01,201.0
2023-11-01,208.57
2023-12-01,230.85
2024-01-01,237.96
2024-02-01,233.92
2024-03-01,260.76
2024-04-01,260.58
2024-05-01,258.38
2024-06-01,264.19
2024-07-01,260.36
2024-08-01,252.38
2024-09-01,233.71
2024-10-01,238.09
2024-11-01,248.71
2024-12-01,264.0
2025-01-01,265.18
2025-02-01,280.35
2025-03-01,283.12
2025-04-01,287.9
2025-05-01,304.1
2025-06-01,303.95
2025-07-01,285.34
2025-08-01,286.76
2025-09-01,277.12
2025-10-01,269.21
2025-11-01,282.75
2025-12-01,302.3
